signature,category,severity
APPFW_SAFEOBJECT,AppFw Safe Object violation,informational
APPFW_REFERER_HEADER,AppFw Referer header violation,informational
APPFW_STARTURL,AppFw StartURL violation,informational
APPFW_POLICY_HIT,AppFw profile invoked,informational
APPFW_CMD,AppFw CMD Injection violation,informational
APPFW_SQL,AppFw SQL Injection violation,informational
APPFW_FIELDCONSISTENCY,AppFw Field Consistency violation,informational
APPFW_CSRF_TAG,AppFw CSRF tag violation,informational
APPFW_CONTENT_TYPE,AppFw Content-type violation,informational
APPFW_SIGNATURE_MATCH,AppFw signature violation,informational
APPFW_XML_WSI_ERR_BODY_ENV_NAMESPACE,AppFw WSI check failed,medium
APPFW_XSS,AppFw XSS violation,informational
APPFW_XMLPAYLOAD_CONTENT_TYPE_MISMATCH,AppFw XML Mismatched content-type,low
APPFW_JSON_XSS,AppFw JSON document has Cross-site script violation,informational
APPFW_JSON_DOS_MAX_DOCUMENT_LENGTH,AppFw JSON document length exceeded,informational
APPFW_JSON_DOS_MAX_OBJECT_KEY_LENGTH,AppFw JSON document has key in object that exceeds maximum key length,informational
APPFW_JSON_DOS_MAX_STRING_LENGTH,AppFw JSON document has string that exceeds maximum string length,informational
APPFW_JSON_SQL,AppFw JSON document has sql violation,informational
APPFW_XML_DOS_ERR_MAX_ATTRIBUTE_NAME_LENGTH,AppFw XDoS check failed,medium
APPFW_XML_SQL,AppFw SQL Injection violation in XML,medium
APPFW_XML_XSS,AppFw XSS violation in XML,medium
APPFW_XML_ERR_NOT_WELLFORMED,Message is not a well-formed XML.,medium
APPFW_FILE_UPLOAD_TYPE,AppFw File Upload Type violation,informational
APPFW_FIELDFORMAT,AppFw Field Format violation,informational
APPFW_POSTBODYLIMIT,AppFw Request post body length(5) exceeds post body limit,medium
APPFW_BUFFEROVERFLOW_HDR,AppFw Buffer Overflow violation in HTTP Headers,informational
APPFW_COOKIE,AppFw Cookie Consistency violation,informational
APPFW_DENYURL,AppFw DenyURL violation,informational
APPFW_COOKIE_HIJACK,AppFw Cookie Hijacking attempt detected asa,low
APPFW_POLICY_HIT_BUILTIN,AppFw built-in profile invoked,informational
AF_MALFORMED_REQ_ERR,Malformed request,informational
APPFW_MULTIPLE_HEADER,AppFw Multiple Header violation,informational
AF_400_RESP,AppFw Request error. Generated 400 Response,informational
